,vol_dHP,vol_dBP,vol_dEE,vol_resid,ac1_resid,coup_dHP_dEE,coup_dBP_dEE,coup_dHP_dresid
2025-03-27 23:15:00,0.4077300000000008,0.48441609999999713,0.13995784999999827,0.12548343226179526,0.772586248787407,0.8289868710312702,0.3584827289839825,-0.4204903248879342
2025-03-27 23:30:00,0.41889400000002297,0.48441609999999713,0.13995784999999827,0.12440085226695174,0.7701699306685142,0.8440906505921368,0.3795941801985875,-0.43695769143103225
2025-03-27 23:45:00,0.41889400000002297,0.48441609999999713,0.14401849999999783,0.12440085226695174,0.773313143740074,0.8441365328524976,0.3792941976814008,-0.4370871898091313
2025-03-28 00:00:00,0.4160540000000026,0.491686099999999,0.14401849999999783,0.1335060292315049,0.7754770549978893,0.8433369225355671,0.3801045177292777,-0.4363478227280107
2025-03-28 00:15:00,0.42388400000001525,0.5147326000000021,0.1333412999999979,0.12440085226695174,0.7782950097787974,0.8462155167641303,0.3830429861117024,-0.44175226699114795
2025-03-28 00:30:00,0.4160540000000026,0.5300908,0.1333412999999979,0.12495979120023648,0.7776276146731866,0.8478712066869404,0.38252104977970813,-0.441819709224272
2025-03-28 00:45:00,0.4077300000000008,0.5300908,0.13101920000000078,0.13130160352478626,0.7754605090363983,0.846713296559349,0.3836794172036067,-0.4427857158248064
2025-03-28 01:00:00,0.4077300000000008,0.5300908,0.13390095000000102,0.13394112505574185,0.7681604609805683,0.8427070795138764,0.38501619356195005,-0.44007521576510417
2025-03-28 01:15:00,0.4077300000000008,0.491686099999999,0.14401849999999783,0.134608565668767,0.7618906220968004,0.8381455883428707,0.38342459078882246,-0.4306787144717092
2025-03-28 01:30:00,0.4077300000000008,0.491686099999999,0.14401849999999783,0.134608565668767,0.7635215544778858,0.837928507130403,0.3828455258240257,-0.4308134725199648
2025-03-28 01:45:00,0.41889400000002297,0.4908074999999954,0.15288255000000106,0.12728250720291712,0.7672593026776745,0.8383308370031518,0.38364777107503234,-0.43146413011040935
2025-03-28 02:00:00,0.4160540000000026,0.4701388999999949,0.15288255000000106,0.134608565668767,0.7623970628515297,0.8422384812973507,0.3894310655326387,-0.43058233313354893
2025-03-28 02:15:00,0.4077300000000008,0.4701388999999949,0.15288255000000106,0.12896193467130956,0.7631960590986866,0.8420141428222239,0.3901233727891489,-0.42786128250016486
2025-03-28 02:30:00,0.4077300000000008,0.4953345999999996,0.15288255000000106,0.12896193467130956,0.7637330098187397,0.8430722446504664,0.3840929827501098,-0.4282325125196888
2025-03-28 02:45:00,0.41889400000002297,0.4953345999999996,0.15288255000000106,0.1316415143974048,0.7643382784779318,0.8417470709653866,0.38371085555128465,-0.4289422802570545
2025-03-28 03:00:00,0.4077300000000008,0.4701388999999949,0.15339575000000139,0.1342152235612346,0.7662256579782798,0.8412675963261461,0.38159048466803985,-0.427443020757861
2025-03-28 03:15:00,0.41889400000002297,0.4701388999999949,0.15339575000000139,0.14004753807163084,0.7691139110138954,0.8413287711423727,0.38196467818151014,-0.4274865432043441
2025-03-28 03:30:00,0.4160540000000026,0.4590120999999989,0.15339575000000139,0.14004753807163084,0.769784250287109,0.8419008832455657,0.3790416370141538,-0.42730314360291044
2025-03-28 03:45:00,0.41889400000002297,0.49376829999999927,0.15339575000000139,0.14004753807163084,0.7712740485177105,0.8429020210908169,0.38223617198359056,-0.4267109423327615
2025-03-28 04:00:00,0.4160540000000026,0.49376829999999927,0.15339575000000139,0.13465031938547156,0.7727332482127658,0.8426313729106066,0.38254871362660975,-0.4259550522240099
2025-03-28 04:15:00,0.42388400000001525,0.49376829999999927,0.15232714999999786,0.13207661022164174,0.7782443989139697,0.8428264368766933,0.3843499768028696,-0.427127801305039
2025-03-28 04:30:00,0.4160540000000026,0.49376829999999927,0.1481169999999956,0.12939703049554652,0.7848517556916319,0.8444151586655454,0.3842118923233132,-0.4268008757189827
2025-03-28 04:45:00,0.41918199999999217,0.49376829999999927,0.1532677999999983,0.13207661022164174,0.7946361933661606,0.8398615912619837,0.38330854164007205,-0.4268690310564948
2025-03-28 05:00:00,0.41918199999999217,0.4935496999999991,0.1491693000000005,0.12693051076988482,0.7890686560658755,0.8470542154406911,0.38456574456125864,-0.4378015026770571
