,EE,EE_pred,resid,resid_pct
2025-04-06 18:15:00,29.22549,30.746912444958642,-1.5214224449586418,-4.948212109694608
2025-04-06 18:30:00,28.9135151,30.453287398867033,-1.5397722988670317,-5.056177609660351
2025-04-06 18:45:00,28.60154,30.159661039096335,-1.558121039096335,-5.166241878768212
2025-04-06 19:00:00,28.2895641,29.86603640102589,-1.5764723010258912,-5.278478469180931
2025-04-06 19:15:00,27.9775887,29.572409822308686,-1.5948211223086872,-5.392935955816472
2025-04-06 19:30:00,27.6656132,29.27878504616623,-1.6131718461662317,-5.509695308813576
2025-04-06 19:45:00,27.3536377,28.985158620456957,-1.631520920456957,-5.628814876677862
2025-04-06 20:00:00,27.0416622,28.69153404832509,-1.6498718483250876,-5.750378650183752
2025-04-06 20:15:00,26.7296867,28.397907469607876,-1.6682207696078777,-5.874449627646853
2025-04-06 20:30:00,26.4177113,28.104282642462778,-1.686571342462777,-6.001118633480206
2025-04-06 20:45:00,26.1057358,27.81065601274292,-1.7049202127429197,-6.130456656476282
2025-04-06 21:00:00,25.79376,27.51703164462164,-1.72327164462164,-6.262563734626018
2025-04-06 21:15:00,25.4817848,27.223407525318727,-1.7416227253187273,-6.397519207318029
2025-04-06 21:30:00,25.16981,26.929780289761972,-1.7599702897619736,-6.535405305297163
2025-04-06 21:45:00,24.8578339,26.636155462616877,-1.7783215626168776,-6.6763447341817175
2025-04-06 22:00:00,24.5458584,26.342528883899668,-1.7966704838996677,-6.820417628915565
2025-04-06 22:15:00,24.2338829,26.048904464775738,-1.815021564775737,-6.967746252937716
2025-04-06 22:30:00,23.9219074,25.75527788605853,-1.8333704860585307,-7.118426344182231
2025-04-06 22:45:00,23.6099319,25.46165310991607,-1.8517212099160716,-7.272588319078609
2025-04-06 23:00:00,23.2979584,25.168026531198862,-1.8700681311988632,-7.430332802934246
2025-04-06 23:15:00,22.9859829,24.874401893128418,-1.8884189931284183,-7.591816684645979
2025-04-06 23:30:00,22.6740074,24.580775314411206,-1.9067679144112049,-7.757151229047303
2025-04-06 23:45:00,22.3620319,24.287151363052168,-1.925119463052166,-7.926493454398417
2025-04-07 00:00:00,22.0500565,23.99352527323063,-1.9434687732306308,-8.099971767795799
2025-04-07 00:15:00,21.738081,23.699899489424965,-1.9618184894249637,-8.277750250798906
2025-04-07 00:30:00,21.4261055,23.40627471328252,-1.9801692132825224,-8.459993046902172
2025-04-07 00:45:00,21.11413,23.11264817835461,-1.9985181783546118,-8.64685934269643
2025-04-07 01:00:00,20.8021545,22.819023307420206,-2.016868807420206,-8.838541335659919
2025-04-07 01:15:00,20.49018,22.525397574617195,-2.035217574617196,-9.035212665505119
2025-04-07 01:30:00,20.1782036,22.231772265789765,-2.053568665789765,-9.237089338800915
2025-04-07 01:45:00,19.8662281,21.93814529296883,-2.0719171929688294,-9.444358970641325
2025-04-07 02:00:00,19.5542526,21.644521443615076,-2.0902688436150747,-9.657265230189157
2025-04-07 02:15:00,19.2422771,21.350894762128707,-2.108617662128708,-9.876015434579738
2025-04-07 02:30:00,18.9303017,21.057269518985237,-2.1269678189852357,-10.100871896366057
2025-04-07 02:45:00,18.6183262,20.76364337816105,-2.1453171781610507,-10.332084495428532
2025-04-07 03:00:00,18.30635,20.47001831042941,-2.1636683104294114,-10.569938324515467
2025-04-07 03:15:00,17.9943752,20.176393693998996,-2.1820184939989957,-10.814710136469962
2025-04-07 03:30:00,17.6824,19.882767553174812,-2.200367553174811,-11.066706620645796
2025-04-07 03:45:00,17.3704243,19.589142623769796,-2.218718323769796,-11.326265607344986
2025-04-07 04:00:00,17.0584488,19.29551532252909,-2.2370665225290907,-11.59371224419766
2025-04-07 04:15:00,16.7464733,19.00189177919122,-2.255418479191217,-11.869441766114589
2025-04-07 04:30:00,16.4344978,18.70826563836704,-2.273767838367039,-12.153814160645553
2025-04-07 04:45:00,16.1225224,18.414639497542854,-2.292117097542853,-12.44725479338708
2025-04-07 05:00:00,15.8105478,18.12101340772132,-2.310465607721321,-12.750200862038085
2025-04-07 05:15:00,15.4985723,17.827389813380798,-2.3288175133807982,-13.063143498622807
2025-04-07 05:30:00,15.1865969,17.533762672615993,-2.347165772615993,-13.386549233278757
2025-04-07 05:45:00,14.8746214,17.24013758273508,-2.36551618273508,-13.720982047753472
2025-04-07 06:00:00,14.5626459,16.946513631376035,-2.3838677313760357,-14.067009788741242
2025-04-07 06:15:00,14.25067,16.652886811053794,-2.402216811053794,-14.42522751946683
2025-04-07 06:30:00,13.938695,16.35926175774884,-2.4205667577488406,-14.796308009450968
2025-04-07 06:45:00,13.6267195,16.065635616924656,-2.4389161169246556,-15.180950041935048
2025-04-07 07:00:00,13.314744,15.772009527103119,-2.45726552710312,-15.579914042535146
2025-04-07 07:15:00,13.0027685,15.478384181445112,-2.4756156814451113,-15.994018835717903
2025-04-07 07:30:00,12.690793,15.184759842941062,-2.493966842941063,-16.424144133569772
2025-04-07 07:45:00,12.3788176,14.891133702116882,-2.5123161021168823,-16.87122117344053
2025-04-07 08:00:00,12.0668421,14.597508086764332,-2.5306659867643315,-17.336287616506993
2025-04-07 08:15:00,11.7548676,14.303882769959692,-2.5490151699596915,-17.82044226000654
2025-04-07 08:30:00,11.4428921,14.010257067028537,-2.567364967028537,-18.324895501528825
2025-04-07 08:45:00,11.1309166,13.716631787309105,-2.5857151873091038,-18.850948450052133
2025-04-07 09:00:00,10.8189411,13.42300564648492,-2.6040645464849206,-19.400010810297516
2025-04-07 09:15:00,10.5069656,13.129380373469587,-2.622414773469588,-19.97363697961464
2025-04-07 09:30:00,10.19499,12.835754670538432,-2.640764670538431,-20.573505324152915
2025-04-07 09:45:00,10.03146,13.59973431482786,-3.5682743148278604,-26.237823712021733
2025-04-07 10:00:00,11.7782393,13.811902242165347,-2.033662942165348,-14.72398882144508
2025-04-07 10:15:00,13.0287457,15.254319988686714,-2.2255742886867136,-14.589796794201899
2025-04-07 10:30:00,13.7964735,16.204378799073027,-2.407905299073027,-14.859596464202452
2025-04-07 10:45:00,11.9985132,14.448718739087592,-2.4502055390875928,-16.957943353545534
2025-04-07 11:00:00,12.0754576,14.608552201256618,-2.533094601256618,-17.339805932573682
2025-04-07 11:15:00,11.9380617,16.39298892526064,-4.454927225260638,-27.17580817977529
2025-04-07 11:30:00,11.7980127,16.49272105986573,-4.69470835986573,-28.46533536112537
2025-04-07 11:45:00,11.9793634,17.403266163471642,-5.4239027634716415,-31.166004774759298
2025-04-07 12:00:00,11.77635,17.670403115985206,-5.894053115985205,-33.355510212742445
2025-04-07 12:15:00,11.9775066,16.684589914627878,-4.707083314627878,-28.21216067468963
2025-04-07 12:30:00,11.9833326,16.59061878682688,-4.6072861868268795,-27.770430060662424
2025-04-07 12:45:00,13.6712933,17.74722448633445,-4.075931186334449,-22.966583814122366
2025-04-07 13:00:00,15.9192438,19.123469360398552,-3.2042255603985517,-16.75546157452976
