,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1,Admission_HP_GTA_JFC2,Soutirage_BP_GTA_JFC2,Prod_EE_GTA_JFC2,Admission_HP_GTA_JFC3,Soutirage_MP_GTA_JFC3,Soutirage_BP_GTA_JFC3,Prod_EE_GTA_JFC3,Admission_HP_GTA_JFC4,Soutirage_BP_GTA_JFC4,Prod_EE_GTA_JFC4
96,2025-01-02 01:00:00,183.8175,33.8842239,,182.9259,28.2737,40.4310722,181.319275,8.939619e-17,38.46733,36.4234657,189.4539,107.799377,42.0233269
97,2025-01-02 01:15:00,187.3001,36.6899338,,183.108932,24.4191227,40.6804352,182.278,8.939619e-17,32.7355461,36.5259666,189.188385,109.198021,42.0089264
98,2025-01-02 01:30:00,187.016541,37.2659035,,183.2799,19.74161,41.2024574,181.919952,8.939619e-17,31.8167,36.5387077,190.588776,108.266869,42.03565
99,2025-01-02 01:45:00,184.581375,36.28437,,183.4014,27.9782848,40.3624573,181.875214,8.939619e-17,30.04693,36.4182,189.184769,109.22802,41.9373474
100,2025-01-02 02:00:00,188.292419,37.4387627,,182.906784,29.0362873,40.15937,181.601334,8.939619e-17,28.4463787,36.44853,190.106674,108.518044,42.0659561
101,2025-01-02 02:15:00,184.877029,29.6257153,,183.2768,29.0476131,40.24203,182.5414,8.939619e-17,29.7836876,36.3506966,189.863922,110.034485,41.9380646
102,2025-01-02 02:30:00,187.129562,31.8148956,,183.295517,29.07966,40.28127,181.711884,8.939619e-17,26.9597931,36.4069252,189.757858,111.064186,41.9374771
103,2025-01-02 02:45:00,184.536057,30.58557,,183.051331,34.3108253,40.172123,181.913208,8.939619e-17,28.3753986,36.4567757,189.67511,110.257057,41.935482
104,2025-01-02 03:00:00,187.299942,31.1664639,,183.0961,34.677227,39.6568565,182.347153,8.939619e-17,31.51967,36.6135,189.353226,108.870987,41.87094
105,2025-01-02 03:15:00,186.569031,33.7214966,,182.326859,32.4392967,39.8532829,182.429245,8.939619e-17,30.47665,36.4870872,189.240067,108.726135,41.87706
106,2025-01-02 03:30:00,185.390366,32.5703278,,182.8105,29.7852764,40.4675674,178.315247,8.939619e-17,31.49735,35.93051,190.649231,111.471519,42.1353035
107,2025-01-02 03:45:00,186.116074,33.4272728,,183.018188,29.448555,40.33962,181.994873,8.939619e-17,33.35153,36.43259,190.023926,108.496918,42.21666
108,2025-01-02 04:00:00,185.15567,32.81879,,183.08522,28.6644936,40.6427727,182.371643,8.939619e-17,33.0517159,36.5024376,189.1932,110.698425,41.94818
109,2025-01-02 04:15:00,186.250534,34.80174,,183.343735,28.2777233,40.5872345,181.540039,8.939619e-17,30.3222027,36.47914,189.719788,108.272575,41.8590965
110,2025-01-02 04:30:00,185.167847,32.7647324,,183.210709,28.8564472,40.46443,181.989624,8.939619e-17,28.3329773,36.65438,190.730148,112.856964,42.0511322
111,2025-01-02 04:45:00,185.3533,32.6230927,,183.177063,36.3838043,39.29073,182.0314,8.939619e-17,25.53658,36.7930222,190.294479,109.333427,41.98883
112,2025-01-02 05:00:00,188.136612,34.08982,,182.940887,36.52506,39.28849,182.360764,8.939619e-17,27.00768,36.8831177,189.888916,109.529449,42.0467949
113,2025-01-02 05:15:00,187.690186,33.2929535,,182.890366,30.9883232,40.2187576,182.423859,8.939619e-17,35.22838,36.9352226,191.06459,109.575516,41.971653
114,2025-01-02 05:30:00,189.6641,32.6510239,,,30.0839119,40.3745537,185.2746,8.939619e-17,35.96103,37.105072,193.302322,110.405029,42.5468025
115,2025-01-02 05:45:00,191.217773,34.0950356,,183.176758,17.2029285,41.3907242,185.9007,8.939619e-17,33.3225174,37.37957,190.932587,107.772034,41.96376
116,2025-01-02 06:00:00,190.663467,32.8258553,,183.235352,16.474205,41.4812164,186.1705,8.939619e-17,34.8798981,37.3584633,193.182953,108.199158,42.4676247
117,2025-01-02 06:15:00,189.763138,32.381916,,,15.9128008,41.55898,185.759521,8.939619e-17,33.24296,37.53893,190.0679,107.2982,41.9744072
118,2025-01-02 06:30:00,189.793121,33.966526,,183.073669,17.8167915,41.13638,185.295776,8.939619e-17,31.57914,37.0914268,190.78389,106.736824,42.331192
119,2025-01-02 06:45:00,191.144028,32.6433678,,183.1475,22.9896069,40.7988243,185.039368,8.939619e-17,32.89349,37.13239,192.126358,106.895493,42.33587
120,2025-01-02 07:00:00,189.629318,32.5248833,,182.842819,21.7906742,40.7888832,185.264221,8.939619e-17,29.7195168,37.0805626,192.681015,107.273781,42.5585
121,2025-01-02 07:15:00,190.857529,29.942667,,182.879761,18.3356476,41.086895,187.55069,8.939619e-17,29.6108551,37.58892,193.153687,107.855759,42.4600143
122,2025-01-02 07:30:00,188.722336,30.0159531,,,16.1026936,41.5609474,188.381073,8.939619e-17,50.263916,37.38132,193.539566,111.6971,42.4957161
123,2025-01-02 07:45:00,189.312927,29.746233,,182.07991,15.1099091,41.37089,189.136353,8.939619e-17,50.7315979,37.2566147,192.914047,115.756042,42.2565651
124,2025-01-02 08:00:00,188.743332,29.1483421,,182.297836,14.0278921,41.0361977,191.017578,8.939619e-17,51.84578,37.54511,193.439056,119.913223,42.236908
125,2025-01-02 08:15:00,189.913208,29.93385,,,13.9115562,41.3330879,189.91951,8.939619e-17,52.0147133,37.39991,192.420532,124.545868,41.933033
126,2025-01-02 08:30:00,190.247955,29.1402817,,182.404388,18.3906727,41.042038,191.0273,8.939619e-17,51.2423477,37.385376,193.498688,124.629623,42.01583
127,2025-01-02 08:45:00,188.296631,29.2169971,,181.971573,26.3047714,40.49654,190.609924,8.939619e-17,49.28364,37.7419,192.367981,107.9737,42.2647934
128,2025-01-02 09:00:00,191.430069,29.053133,,181.80368,24.4032078,40.67924,187.844589,8.939619e-17,50.58417,37.47849,192.815247,108.967613,42.4657135
129,2025-01-02 09:15:00,193.463211,30.1967678,,181.563324,21.7373486,41.1428223,188.296661,8.939619e-17,49.89825,37.10169,191.857269,107.749466,42.4170837
130,2025-01-02 09:30:00,191.002045,29.02206,,181.933716,21.3676357,40.9108276,188.333832,8.939619e-17,49.9805679,37.15971,194.524216,107.69799,42.8784752
131,2025-01-02 09:45:00,191.505173,28.8701344,,182.085815,19.7205276,41.22906,188.875885,8.939619e-17,50.1379852,37.3134651,195.797638,106.796005,43.10115
132,2025-01-02 10:00:00,192.813629,29.3741837,,182.522385,16.9001369,41.150238,190.106,8.939619e-17,49.5183258,37.4836,196.3907,108.793564,43.2130051
133,2025-01-02 10:15:00,194.086029,28.8790932,,182.438446,15.4857674,41.2653656,190.480209,8.939619e-17,48.3209038,38.0987549,196.266556,113.445847,43.1817245
134,2025-01-02 10:30:00,194.390533,29.7241745,,182.116074,20.2560234,40.987648,190.393188,8.939619e-17,58.20549,37.61692,192.270416,123.779625,42.3445053
135,2025-01-02 10:45:00,193.455856,29.0869274,,182.0645,22.8987465,40.9201164,189.810364,2.09759331,44.16114,38.2588272,195.7463,131.738022,42.62236
136,2025-01-02 11:00:00,194.206039,28.4493465,,182.200714,19.4785328,41.1399231,193.2353,2.433374,44.9221573,38.8956032,199.008377,134.374512,42.8731232
137,2025-01-02 11:15:00,191.087723,27.9622936,,182.015457,18.917099,41.1858,192.370682,2.63581157,42.7436562,38.7692,195.92244,133.0735,42.5167122
138,2025-01-02 11:30:00,211.8253,28.1363239,,182.217575,17.4919,41.1853561,192.4742,2.96240973,42.2310867,38.5576553,198.4687,133.31073,42.87562
139,2025-01-02 11:45:00,211.86409,29.2014046,,182.421387,19.1850967,41.0388565,191.32457,3.2983675,42.85691,38.4337654,198.7742,127.23941,42.94943
140,2025-01-02 12:00:00,211.590652,29.4006138,,182.422043,23.9163036,40.77263,192.579147,3.51134539,41.2869873,38.72465,198.9058,121.647949,43.4373
141,2025-01-02 12:15:00,211.447617,28.3434658,,182.244049,25.9469566,40.63212,191.487686,3.715067,41.8066635,38.6072464,198.995316,122.109695,43.5294456
142,2025-01-02 12:30:00,211.8237,28.9624577,,182.249863,34.177124,39.50382,190.535614,3.861003,41.62736,38.4781456,198.756622,119.226181,43.8194
143,2025-01-02 12:45:00,211.064041,28.027256,,,30.6798,40.0795441,191.444672,3.83111286,43.1716423,38.4936752,198.7132,118.921745,43.72724
144,2025-01-02 13:00:00,211.402679,27.9212189,,181.809113,27.2589588,40.58225,191.323746,3.87552071,43.8511925,38.5141754,199.08902,120.894684,43.928627
145,2025-01-02 13:15:00,211.559448,28.6103611,,182.11499,25.6662846,40.7103653,191.307632,3.714604,41.48537,38.56287,199.098465,119.499321,43.7565422
146,2025-01-02 13:30:00,210.969986,29.0979118,,182.2462,15.5548553,41.4307175,183.417862,3.61908436,39.96023,37.27763,197.073471,121.185364,43.6404724
147,2025-01-02 13:45:00,211.20166,29.3461189,,182.023712,13.7413893,41.28843,177.234848,3.48988748,38.9111938,35.961483,192.38942,120.385841,43.2090225
148,2025-01-02 14:00:00,212.086273,28.855257,,182.018631,14.049077,41.192215,178.166122,3.2365818,38.4865265,36.38744,194.259,119.750221,43.55373
149,2025-01-02 14:15:00,212.380066,28.616869,,181.612808,15.5553207,41.1706543,177.217728,2.94435763,25.4702873,36.456295,194.0204,119.66227,43.2512054
150,2025-01-02 14:30:00,212.546524,28.9981365,,181.657349,22.0327244,40.9904976,178.6604,2.569977,23.242878,36.383625,193.089478,121.077271,43.4293556
151,2025-01-02 14:45:00,212.615524,28.8277988,,181.705139,20.15916,40.7866364,178.418884,2.20820951,25.1523857,36.38929,192.886322,120.298149,43.3250427
152,2025-01-02 15:00:00,212.650436,28.636282,,181.93515,16.0327969,41.19762,179.036774,0.3386541,24.86109,36.46684,192.545792,118.102036,43.2977562
153,2025-01-02 15:15:00,213.155792,28.5090485,,181.7419,15.7036552,41.34726,178.47757,8.93086857e-17,26.4699574,36.3893471,194.464371,115.083115,43.62409
154,2025-01-02 15:30:00,213.501587,29.0205326,,182.2988,14.1235828,41.1816139,178.866852,8.93086857e-17,25.99386,36.6009,193.290634,113.444878,43.54658
