,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1
23640,2025-09-04 08:00:00,187.922073,36.6806221,42.6510773
23641,2025-09-04 08:15:00,188.156982,37.7440262,42.2751732
23642,2025-09-04 08:30:00,188.155579,37.2064857,42.7267952
23643,2025-09-04 08:45:00,188.356049,39.1240158,42.6588936
23644,2025-09-04 09:00:00,187.921661,37.8470535,42.24704
23645,2025-09-04 09:15:00,187.934616,38.5475655,42.5008469
23646,2025-09-04 09:30:00,188.087753,41.0537262,42.0783424
23647,2025-09-04 09:45:00,187.505417,36.749897,42.3793
23648,2025-09-04 10:00:00,187.75856,29.3603916,42.881794
23649,2025-09-04 10:15:00,188.007324,32.79134,42.99196
23650,2025-09-04 10:30:00,187.7379,24.8739738,43.4717865
23651,2025-09-04 10:45:00,188.144165,28.3790836,43.2947845
23652,2025-09-04 11:00:00,187.829391,28.5558681,42.8269348
23653,2025-09-04 11:15:00,188.42276,29.1472168,43.21564
23654,2025-09-04 11:30:00,187.563278,26.6137581,43.443634
23655,2025-09-04 11:45:00,187.916092,27.1126537,43.44245
23656,2025-09-04 12:00:00,187.936737,29.5463734,43.17118
23657,2025-09-04 12:15:00,188.218719,39.267067,42.5353622
23658,2025-09-04 12:30:00,188.415649,37.7310181,42.34066
23659,2025-09-04 12:45:00,188.229523,36.15655,42.5452728
23660,2025-09-04 13:00:00,187.416382,25.3053131,43.48309
23661,2025-09-04 13:15:00,188.1525,23.8858871,43.6286125
23662,2025-09-04 13:30:00,187.192078,23.30552,43.2139931
23663,2025-09-04 13:45:00,185.4,16.3994827,43.49556
23664,2025-09-04 14:00:00,187.934,29.9166069,42.9481773
23665,2025-09-04 14:15:00,187.381317,28.4146633,43.22104
23666,2025-09-04 14:30:00,187.101532,28.8961735,43.0493126
23667,2025-09-04 14:45:00,186.123947,30.3445568,42.5365524
23668,2025-09-04 15:00:00,186.0736,29.6980762,42.4103851
23669,2025-09-04 15:15:00,186.277832,28.9770412,42.7528038
23670,2025-09-04 15:30:00,186.5246,29.2282238,42.6779
23671,2025-09-04 15:45:00,186.472122,29.0980854,42.57727
23672,2025-09-04 16:00:00,187.0806,29.5557175,42.60053
23673,2025-09-04 16:15:00,187.653061,32.6632652,42.5842
23674,2025-09-04 16:30:00,188.263092,33.39247,42.4569054
23675,2025-09-04 16:45:00,187.486313,41.0747833,42.1443748
23676,2025-09-04 17:00:00,187.763885,44.29542,41.54975
23677,2025-09-04 17:15:00,187.617,42.43174,42.22787
23678,2025-09-04 17:30:00,187.847672,43.44687,41.75332
23679,2025-09-04 17:45:00,188.130127,43.3944168,41.6919174
23680,2025-09-04 18:00:00,188.111252,34.67271,42.2271538
23681,2025-09-04 18:15:00,188.057068,38.3607559,42.42335
23682,2025-09-04 18:30:00,187.367447,34.72864,42.412117
23683,2025-09-04 18:45:00,187.149582,40.2199326,41.96686
23684,2025-09-04 19:00:00,187.041321,40.2089272,42.23542
23685,2025-09-04 19:15:00,187.476028,46.0307045,41.4127121
23686,2025-09-04 19:30:00,187.64122,44.8519135,41.3245239
23687,2025-09-04 19:45:00,187.310379,45.5619621,41.5263062
23688,2025-09-04 20:00:00,187.267654,46.15129,41.7115669
23689,2025-09-04 20:15:00,187.74588,45.9749336,41.13352
23690,2025-09-04 20:30:00,187.151352,45.91351,41.9077072
23691,2025-09-04 20:45:00,187.771912,45.4397278,41.41887
23692,2025-09-04 21:00:00,187.205261,46.32064,41.4542351
23693,2025-09-04 21:15:00,187.660187,45.94813,41.5430527
23694,2025-09-04 21:30:00,187.343155,45.769207,41.7053261
23695,2025-09-04 21:45:00,187.712921,48.1441841,41.46747
23696,2025-09-04 22:00:00,188.012924,47.44013,41.6826172
23697,2025-09-04 22:15:00,188.367569,46.63348,41.5695839
23698,2025-09-04 22:30:00,187.62175,40.2827,42.21258
23699,2025-09-04 22:45:00,187.912018,31.5857487,42.912735
23700,2025-09-04 23:00:00,187.24855,30.2086163,42.9425735
23701,2025-09-04 23:15:00,187.604431,30.6389351,42.9390221
23702,2025-09-04 23:30:00,188.165085,32.18422,42.9522934
23703,2025-09-04 23:45:00,188.676666,46.6653328,41.7761269
23704,2025-09-05 00:00:00,188.8569,47.05944,42.074688
23705,2025-09-05 00:15:00,188.137787,54.23996,40.978035
23706,2025-09-05 00:30:00,178.659836,48.2657471,39.355278
23707,2025-09-05 00:45:00,185.736832,52.6260338,40.53128
23708,2025-09-05 01:00:00,187.922241,54.05936,40.8932762
23709,2025-09-05 01:15:00,188.03804,54.0918655,41.0766373
23710,2025-09-05 01:30:00,186.570053,53.38104,40.6791725
23711,2025-09-05 01:45:00,185.710037,52.8106956,40.4748573
23712,2025-09-05 02:00:00,186.286148,53.32264,40.72387
23713,2025-09-05 02:15:00,186.970062,53.3736572,40.91753
23714,2025-09-05 02:30:00,187.908066,54.6932144,40.7424927
23715,2025-09-05 02:45:00,187.844849,54.0775146,41.1886635
23716,2025-09-05 03:00:00,187.439575,54.1416245,41.03617
23717,2025-09-05 03:15:00,186.646973,53.1542549,40.99624
23718,2025-09-05 03:30:00,187.457275,53.8587723,40.89453
